Model,Stage,Accuracy change,F1 score change
GC1,PCA,-0.032,-0.048
,SB,-0.028,-0.021
GC2,SMOTE,-0.001,-0.022
,SS,-0.016,-0.018
GC3,PCA,-0.033,-0.019
GC4,LE,-0.022,-0.002
,SS,0.026,0.004
GC5,SS,0.011,0.004
GC6,PCA,-0.014,-0.008
,SS,0.004,0.003
,LE,-0.011,-0.009
GC7,PCA,-0.058,-0.066
,SB,-0.042,-0.052
GC8,SS,0.06,0.034
GC9,SMOTE,0.008,0.003
GC10,Usamp,-0.108,-0.142
AC1,SS,0.035,0.155
,LE,0.027,0.106
AC2,MV,0,-0.001
AC3,CT(f),-0.008,-0.025
AC4,PCA,-0.022,-0.05
,SS,0.048,0.291
AC5,LE,0.001,0.003
AC6,CT(f),-0.009,-0.032
,CT(c),0.001,0.003
AC7,PCA,-0.069,-0.167
,SS,0.029,0.093
,CT(f),0.032,0.1
AC8,SS,0,0
,CT(f),-0.002,-0.004
,Stratify,-0.002,-0.003
AC9,SS,0,0.002
AC10,Impute,0,0.002
BM1,Custom,-0.007,-0.043
,LE,-0.005,-0.033
,SS,-0.001,-0.002
BM2,LE,0.001,0.006
BM3,LE,0,-0.001
,SS,0,0.001
,CT(f),-0.005,-0.085
BM4,SS,-0.015,-0.207
BM5,SS,0.004,0.103
BM6,FS,0,-0.001
,Stratify,-0.004,-0.029
,SS,-0.005,-0.014
BM7,FS,0,0
BM8,Stratify,0.001,0.003
TT1,MV,0.089,0.051
,CT(f),-0.035,-0.034
,Encode,0.026,0.005
TT2,MV,0.104,0.122
,CT(f),-0.033,-0.026
TT3,Impute,-0.003,-0.003
,CT(f),-0.006,-0.005
TT4,CT(f),0.02,0.037
,Impute,0,0
,RFECV,0.003,0.002
TT5,CT(f),0.01,0.029
TT6,CT(f),0.014,0.029
TT7,SS,-0.003,-0.003
,LE,0.116,0.343
,CT(f),0.014,0.029
TT8,CT(f),0.215,0.038
