Model,Stage,SF_SPD,SF_EOD,SF_AOD,SF_ERD
GC1,PCA,0.032,0.072,0.033,-0.079
,SB,-0.023,-0.038,-0.024,0.029
GC2,SMOTE,0.009,0.003,0.028,0.049
,SS,-0.01,-0.012,-0.009,0.005
GC3,PCA,0.039,0.025,0.037,0.023
GC4,LE,0.093,0.066,0.095,0.057
,SS,-0.103,-0.06,-0.102,-0.084
GC5,SS,-0.06,0.002,-0.079,-0.162
GC6,PCA,-0.031,-0.046,-0.025,0.043
,SS,0.002,-0.008,0.007,0.03
,LE,-0.016,-0.046,-0.001,0.088
GC7,PCA,0.03,0.035,0.032,-0.006
,SB,-0.025,-0.016,-0.014,0.004
GC8,SS,-0.172,-0.076,-0.194,-0.236
GCP1,SMOTE,0.005,0.004,0.006,0.004
GCP2,Usamp,0.021,0.067,-0.001,-0.135
AC1,SS,-0.096,-0.162,-0.113,0.099
,LE,-0.006,0.034,0.019,-0.031
AC2,MV,-0.004,-0.022,-0.011,0.022
AC3,Custom(f),0.008,0.011,0.007,-0.007
AC4,PCA,-0.009,-0.042,-0.026,0.031
,SS,-0.081,-0.104,-0.071,0.066
AC5,LE,0,-0.006,-0.002,0.008
AC6,Custom(f),0.013,0.033,0.018,-0.029
,Custom(c),-0.003,-0.002,-0.003,-0.001
AC7,PCA,-0.053,-0.224,-0.136,0.177
,SS,-0.11,-0.223,-0.149,0.148
,Custom(f),-0.055,-0.113,-0.071,0.083
AC8,SS,0,0,0,0
,Custom(f),0,-0.007,-0.003,0.008
,Stratify,-0.002,0.003,0,-0.007
ACP1,SS,-0.099,-0.022,-0.038,-0.032
ACP2,Impute,-0.081,-0.02,-0.027,-0.015
BM1,Custom,0.004,0.034,0.019,-0.031
,LE,0.011,0.058,0.031,-0.055
,SS,-0.002,-0.005,-0.003,0.004
BM2,LE,0.002,0.016,0.007,-0.018
BM3,LE,-0.005,-0.011,-0.007,0.009
,SS,0.001,0.001,0.001,-0.001
,Custom(f),0.025,0.114,0.065,-0.098
BM4,SS,-0.019,0.028,0.013,-0.031
BM5,SS,-0.015,-0.099,-0.049,0.1
BM6,FS,0.002,-0.005,0,0.01
,Stratify,-0.006,0.027,0.009,-0.036
,SS,-0.001,0.013,0.004,-0.017
BM7,FS,0.011,0.035,0.02,-0.031
BM8,Stratify,0.013,0.02,0.016,-0.009
TT1,MV,-0.025,0.075,-0.097,-0.344
,Custom(f),0.108,0.183,0.101,-0.164
,Encode,0.178,0.165,0.176,0.023
TT2,MV,-0.008,-0.214,-0.164,0.099
,Custom(f),-0.058,-0.096,-0.038,0.116
TT3,Impute,0.011,0.023,0.015,-0.016
,Custom(f),0.008,-0.04,0.02,0.121
TT4,Custom(f),-0.038,-0.233,-0.102,0.262
,Impute,-0.007,0.001,-0.01,-0.021
,RFECV,0.031,0.071,0.045,-0.051
TT5,Custom(f),-0.043,-0.159,-0.091,0.135
TT6,Custom(f),0.043,-0.01,0.024,0.069
TT7,SS,0.002,0,0.006,0.012
,LE,0.511,0.346,0.464,0.236
,Custom(f),0.081,0.002,0.086,0.167
TT8,Custom(f),0.754,0.568,0.572,0.008
CP1,Filter,-0.001,-0.005,-0.003,0.004
,Impute1,0,0,0,0
,Encode,0,0,0,0
,Impute2,0,0,0,0
,Kbins,0,0,0,0
,Binarize,0,0,0,0
