Model,Stage,SF_SPD,SF_EOD,SF_AOD,SF_ERD
GC1,PCA,0.01216799,0.01336189,0.01783424,0.03091763
,SB,0.00982649,0.02925303,0.00610737,0.06556722
GC2,SMOTE,0.01501,0.01418591,0.013873,0.03186158
,SS,0.0144513,0.01841304,0.01925461,0.04561732
GC3,PCA,0.02532982,0.02200545,0.03365501,0.06752955
GC4,LE,0.05154163,0.04575216,0.05936278,0.09706163
,SS,0.01990327,0.01710263,0.03025459,0.04236201
GC5,SS,0.00397995,0.02084562,0.00683813,0.0542415
GC6,PCA,0.02996431,0.01795383,0.04393928,0.06724091
,SS,0.01055936,0.02270683,0.01368722,0.04976284
,LE,0.01966062,0.00762627,0.02928208,0.04976686
GC7,PCA,0.02338461,0.0166012,0.03085936,0.07039773
,SB,0.01651484,0.0211542,0.01624007,0.0380171
GC8,SS,0.02881562,0.04792598,0.02680783,0.10063131
GCP1,SMOTE,0.02913314,0.05603535,0.02115798,0.09589964
GCP2,Usamp,0.0392334,0.02969074,0.04856089,0.06689963
AC1,SS,0.003130495,0.012969194,0.006708204,0.012521981
,LE,0.002236068,0.01744133,0.008049845,0.018335757
AC2,MV,0.001788854,0.007155418,0.004024922,0.006708204
AC3,Custom(f),0.000894427,0.005813777,0.002683282,0.00626099
AC4,PCA,0.003130495,0.013863621,0.007155418,0.013416408
,SS,0.004024922,0.018335757,0.009838699,0.01744133
AC5,LE,0.001788854,0.005813777,0.003577709,0.00491935
AC6,Custom(f),0.001788854,0.006708204,0.003577709,0.006708204
,Custom(c),0.000894427,0.001341641,0.000894427,0.001341641
AC7,PCA,0.004472136,0.015652476,0.008497058,0.014758049
,SS,0.004472136,0.016546903,0.007602631,0.019677398
,Custom(f),0.002236068,0.007602631,0.004472136,0.00626099
AC8,SS,0,0,0,0
,Custom(f),0.002236068,0.006708204,0.004024922,0.005813777
,Stratify,0.003577709,0.00491935,0.004024922,0.001341641
ACP1,SS,0.008944272,0.014758049,0.010285913,0.011627553
ACP2,Impute,0.008049845,0.024596748,0.013416408,0.023255107
BM1,Custom,0.00626099,0.015652476,0.008944272,0.014758049
,LE,0.005813777,0.021019039,0.011627553,0.019230185
,SS,0.00491935,0.015205262,0.006708204,0.019677398
BM2,LE,0.002683282,0.020124612,0.008944272,0.022807893
BM3,LE,0.002236068,0.005813777,0.002236068,0.008944272
,SS,0.000447214,0.001788854,0.000894427,0.002683282
,Custom(f),0.008049845,0.028174457,0.014758049,0.027280029
BM4,SS,0.010285913,0.040249224,0.020124612,0.040696437
BM5,SS,0.003577709,0.016546903,0.007155418,0.019230185
BM6,FS,0.003130495,0.00626099,0.002683282,0.009391486
,Stratify,0.012521981,0.016099689,0.005813777,0.032646592
,SS,0.00491935,0.009838699,0.00626099,0.008497058
BM7,FS,0.007155418,0.01118034,0.008497058,0.005813777
BM8,Stratify,0.008497058,0.020124612,0.012074767,0.017888544
TT1,MV,0.052771204,0.046063,0.060373835,0.037565942
,Custom(f),0.070659748,0.122983739,0.072448602,0.145344419
,Encode,0.065740399,0.067082039,0.065740399,0.038907583
TT2,MV,0.009391486,0.065740399,0.017888544,0.109567331
,Custom(f),0.024149534,0.018782971,0.025938389,0.050535136
TT3,Impute,0.016994117,0.025938389,0.008049845,0.03980201
,Custom(f),0.010733126,0.035777088,0.013416408,0.054560059
TT4,Custom(f),0.008497058,0.020571825,0.020124612,0.014758049
,Impute,0.00491935,0.008944272,0.005366563,0.013863621
,RFECV,0.012074767,0.029516097,0.016994117,0.030857738
TT5,Custom(f),0.018335757,0.030857738,0.02862167,0.039354796
TT6,Custom(f),0.016994117,0.043826932,0.030410524,0.072448602
TT7,SS,0.003577709,0,0.00491935,0.010285913
,LE,0.040249224,0.070659748,0.04472136,0.056348913
,Custom(f),0.021913466,0.037565942,0.034435447,0.07334303
TT8,Custom(f),0.027280029,0.037118728,0.043379719,0.068870894
CP1,Filter,0.001788854,0.001788854,0.001788854,0.003577709
,Impute1,0,0,0,0
,Encode,0,0,0,0
,Impute2,0,0,0,0
,Kbins,0,0,0,0
,Binarize,0,0,0,0
