Stage,Model,SPD,EOD,AOD,ERD
Usamp,DCT,0.064,0.117,0.05,-0.093
SS,DCT,0.006,0.046,-0.001,-0.054
MM,DCT,0,0.056,-0.015,-0.074
MA,DCT,-0.03,0.03,-0.045,-0.067
Ro,DCT,0.057,0.107,0.039,-0.087
No,DCT,-0.008,-0.031,0.026,0.039
QT,DCT,0.017,0.087,-0.006,-0.097
PT,DCT,-0.023,0.036,-0.041,-0.07
,,,,,
Stage,Model,SPD,EOD,AOD,ERD
Usamp,KNC,-0.067,-0.055,-0.069,-0.004
SS,KNC,-0.06,-0.052,-0.049,-0.002
MM,KNC,0.001,0.043,-0.008,-0.068
MA,KNC,-0.015,0.036,-0.029,-0.075
Ro,KNC,-0.042,-0.003,-0.048,-0.044
No,KNC,-0.05,-0.067,-0.027,0.036
QT,KNC,-0.018,0.027,-0.026,-0.063
PT,KNC,-0.06,-0.045,-0.054,-0.011
