Model,Stage,SPD,EOD,AOD,ERD
AC1,SS,-0.0964,-0.1626,-0.1128,-0.0074
,LE,-0.0062,0.0342,0.019,0.0142
AC2,MV,-0.0036,-0.0222,-0.0114,0.0036
AC3,Custom(f),0.0082,0.0106,0.0074,-0.0022
AC4,PCA,-0.0094,-0.0418,-0.0262,-0.0056
,SS,-0.0806,-0.1042,-0.0712,0.0286
AC5,LE,-0.0002,-0.006,-0.0022,0.003
AC6,Custom(f),0.0132,0.0328,0.0184,-0.0074
,Custom(c),-0.0032,-0.0022,-0.0026,-0.002
AC7,PCA,-0.053,-0.224,-0.1358,-0.0174
,SS,-0.1104,-0.2232,-0.1494,-0.0154
,Custom(f),-0.0554,-0.1128,-0.071,0.0046
AC8,SS,0,0,0,0
,Custom(f),0,-0.007,-0.0034,0.0016
,Stratify,-0.0022,0.0036,-0.0006,-0.003
AC9,SS,0.0006,0.0166,0.0056,-0.0046
AC10,Impute,0.0046,0.0174,0.0086,-0.0016
